rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.99,3.525632539,2.59959,22335,11.58,975,5150,4.572,0.793
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,1,34.84398644,2.9315,4523.6,7.61,511,5509,4.482,0.871
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1,7.748094239,3.5957,2472.1,5.52,964,5973,4.439,1.085
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1,23.96793669,3.827,1182.3,1.8,329,3747,4.728,0.524
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1,8.11437482,2.2736,1558,2.1,460,3692,4.753,0.517
117,4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0,38.03672948,4.34617,82872,27.5,500,5575,4.521,0.932
118,4936180,K00820.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.64090031,35.512,2450.6,30.09,1155,6463,4.5,0.826
119,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.747838198,5.0642,616,13.65,1031,5514,4.569,0.826
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.992,14.74914825,6.0995,430.2,2.89,874,5847,4.191,1.402
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,1,21.81295996,4.3791,1175.4,3.38,639,5601,4.41,0.999
122,5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.91936937,3.3148,15148,10.34,814,5690,4.588,0.776
123,5115978,K00823.01,,CANDIDATE,CANDIDATE,,1.028436523,1.8606,8098,72.77,1947,6228,4.428,0.99
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1,15.37562369,3.3169,15337,11.01,600,4986,4.496,0.833
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,1,8.10363271,3.161,887.9,2.11,687,4861,4.574,0.732
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,1,4.71510843,2.506,417.5,1.46,823,4861,4.574,0.732
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1,6.365839713,2.9721,780.7,2.44,914,5776,4.554,0.849
128,5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,3.065,962.4,3.86,1047,6108,4.471,0.997
129,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.446737317,4.7211,1177.9,26.25,1261,5764,4.548,0.863
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1,3.04033046,1.8411,10859,8.99,1021,5035,4.519,0.791
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1,15.33528675,3.897,3081.4,5,610,5251,4.581,0.817
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.998,7.95825328,4.377,50,1.06,1074,5847,4.191,1.402
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1,31.33046135,5.176,5073.8,6.5,481,5251,4.581,0.817
134,5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.006,3.9043425,3.831,16228,12.28,1104,5810,4.526,0.898
135,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0,9.286358079,3.49949,44791,17.61,796,5670,4.523,0.821
136,5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.951405455,2.1862,2453.9,31.44,1133,6046,4.539,0.869
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.999,23.65369415,8.2183,3341.8,7.89,731,5739,4.191,1.384
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.996,13.23352214,6.7372,504.6,3.06,888,5739,4.191,1.384
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.997,6.15560285,4.9843,285,2.32,1146,5739,4.191,1.384
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,1,2.090811305,3.388,115.9,1.62,1642,5739,4.191,1.384
